owner_step	source_step	handoff_status	owner_step_tsv_has_file_id	owner_step_md_mentions_file_id	file_id	status	path	file_kind	route_classes	features	group	disposition	evidence	notes	minimalism_gate
M00	M00	owned-in-source-step	yes	no	000013	D	.github/workflows/issue-labeller.yml	metadata	primary	source:tree:metadata	source-metadata	drop	Repository metadata, CI, or developer-file delta only.	No 8X runtime/build behavior for target migration.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000014	D	.github/workflows/kernel.yml	metadata	primary	source:tree:metadata	source-metadata	drop	Repository metadata, CI, or developer-file delta only.	No 8X runtime/build behavior for target migration.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000015	D	.github/workflows/label-kernel.yml	metadata	primary	source:tree:metadata	source-metadata	drop	Repository metadata, CI, or developer-file delta only.	No 8X runtime/build behavior for target migration.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000016	D	.github/workflows/label-target.yml	metadata	primary	source:tree:metadata	source-metadata	drop	Repository metadata, CI, or developer-file delta only.	No 8X runtime/build behavior for target migration.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000017	D	.github/workflows/labeler.yml	metadata	primary	source:tree:metadata	source-metadata	drop	Repository metadata, CI, or developer-file delta only.	No 8X runtime/build behavior for target migration.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000018	D	.github/workflows/packages.yml	metadata	primary	source:tree:metadata	source-metadata	drop	Repository metadata, CI, or developer-file delta only.	No 8X runtime/build behavior for target migration.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000019	D	.github/workflows/push-containers.yml	metadata	primary	source:tree:metadata	source-metadata	drop	Repository metadata, CI, or developer-file delta only.	No 8X runtime/build behavior for target migration.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000020	D	.github/workflows/scripts/ci_helpers.sh	shell	primary	source:tree:metadata	source-metadata	drop	Repository metadata, CI, or developer-file delta only.	No 8X runtime/build behavior for target migration.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000021	D	.github/workflows/scripts/show_build_failures.sh	shell	primary	source:tree:metadata	source-metadata	drop	Repository metadata, CI, or developer-file delta only.	No 8X runtime/build behavior for target migration.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000022	D	.github/workflows/toolchain.yml	metadata	primary	source:tree:metadata	source-metadata	drop	Repository metadata, CI, or developer-file delta only.	No 8X runtime/build behavior for target migration.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000023	D	.github/workflows/tools.yml	metadata	primary	source:tree:metadata	source-metadata	drop	Repository metadata, CI, or developer-file delta only.	No 8X runtime/build behavior for target migration.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000024	D	.gitignore	unknown	primary	source:tree:metadata	source-metadata	drop	Repository metadata, CI, or developer-file delta only.	No 8X runtime/build behavior for target migration.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000025	M	README.md	doc	primary	source:tree:metadata	source-metadata	drop	README patch only adds vendor build title.	No code, hardware, package, or target behavior to migrate.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000027	M	feeds.conf.default	unknown	primary	source:feeds:base-feed-config	feed-baseline	review-only	Vendor pins OpenWrt feeds and adds MTK plus third-party feeds.	Use as provenance/build-baseline evidence only; M01 must choose clean 25.12 feeds intentionally.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000814	D	scripts/config/.gitignore	unknown	primary	source:tree:metadata	source-metadata	drop	Repository metadata, CI, or developer-file delta only.	No 8X runtime/build behavior for target migration.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000824	D	target/linux/gemini/image/copy-kernel/.gitignore	unknown	primary	source:tree:metadata	source-metadata	drop	Repository metadata, CI, or developer-file delta only.	No 8X runtime/build behavior for target migration.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000830	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7987-netsys-eth0-an8801sb.dtso	dtso	review-only	network:phy:multi-rate	mt7987-reference	review-only	MT7987/BPI-R4 Lite vendor-family or MTK SDK reference, not direct 8X authority.	Later steps may inspect as implementation background only; do not copy hardware behavior to 8X from this file.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000831	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7987-netsys-eth0-an8855-gsw.dtso	dtso	review-only	network:phy:multi-rate	mt7987-reference	review-only	MT7987/BPI-R4 Lite vendor-family or MTK SDK reference, not direct 8X authority.	Later steps may inspect as implementation background only; do not copy hardware behavior to 8X from this file.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000832	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7987-netsys-eth0-an8855.dtso	dtso	review-only	network:phy:multi-rate	mt7987-reference	review-only	MT7987/BPI-R4 Lite vendor-family or MTK SDK reference, not direct 8X authority.	Later steps may inspect as implementation background only; do not copy hardware behavior to 8X from this file.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000833	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7987-netsys-eth0-e2p5g.dtso	dtso	review-only	network:phy:multi-rate	mt7987-reference	review-only	MT7987/BPI-R4 Lite vendor-family or MTK SDK reference, not direct 8X authority.	Later steps may inspect as implementation background only; do not copy hardware behavior to 8X from this file.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000834	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7987-netsys-eth0-mt7531-gsw.dtso	dtso	review-only	network:phy:multi-rate	mt7987-reference	review-only	MT7987/BPI-R4 Lite vendor-family or MTK SDK reference, not direct 8X authority.	Later steps may inspect as implementation background only; do not copy hardware behavior to 8X from this file.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000835	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7987-netsys-eth0-mt7531.dtso	dtso	review-only	network:phy:multi-rate	mt7987-reference	review-only	MT7987/BPI-R4 Lite vendor-family or MTK SDK reference, not direct 8X authority.	Later steps may inspect as implementation background only; do not copy hardware behavior to 8X from this file.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000836	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7987-netsys-eth1-i2p5g.dtso	dtso	review-only	network:phy:multi-rate	mt7987-reference	review-only	MT7987/BPI-R4 Lite vendor-family or MTK SDK reference, not direct 8X authority.	Later steps may inspect as implementation background only; do not copy hardware behavior to 8X from this file.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000837	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7987-netsys-eth2-an8801sb.dtso	dtso	review-only	network:phy:multi-rate	mt7987-reference	review-only	MT7987/BPI-R4 Lite vendor-family or MTK SDK reference, not direct 8X authority.	Later steps may inspect as implementation background only; do not copy hardware behavior to 8X from this file.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000838	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7987-netsys-eth2-e2p5g.dtso	dtso	review-only	network:phy:multi-rate	mt7987-reference	review-only	MT7987/BPI-R4 Lite vendor-family or MTK SDK reference, not direct 8X authority.	Later steps may inspect as implementation background only; do not copy hardware behavior to 8X from this file.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000839	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7987-netsys-eth2-sfp.dtso	dtso	review-only	network:phy:multi-rate	mt7987-reference	review-only	MT7987/BPI-R4 Lite vendor-family or MTK SDK reference, not direct 8X authority.	Later steps may inspect as implementation background only; do not copy hardware behavior to 8X from this file.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000841	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7987-netsys.dtsi	dtsi	review-only	network:phy:multi-rate	mt7987-reference	review-only	MT7987/BPI-R4 Lite vendor-family or MTK SDK reference, not direct 8X authority.	Later steps may inspect as implementation background only; do not copy hardware behavior to 8X from this file.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000842	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7987-pinctrl.dtsi	dtsi	review-only	network:phy:multi-rate	mt7987-reference	review-only	MT7987/BPI-R4 Lite vendor-family or MTK SDK reference, not direct 8X authority.	Later steps may inspect as implementation background only; do not copy hardware behavior to 8X from this file.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000847	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7987.dtsi	dtsi	review-only	network:phy:multi-rate	mt7987-reference	review-only	MT7987/BPI-R4 Lite vendor-family or MTK SDK reference, not direct 8X authority.	Later steps may inspect as implementation background only; do not copy hardware behavior to 8X from this file.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000851	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7987a-bananapi-bpi-r4-lite.dts	dts	review-only	network:phy:multi-rate	mt7987-reference	review-only	MT7987/BPI-R4 Lite vendor-family or MTK SDK reference, not direct 8X authority.	Later steps may inspect as implementation background only; do not copy hardware behavior to 8X from this file.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000859	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988a-bananapi-bpi-r4-pro-8x.dts	dts	review-only	network:phy:multi-rate	direct-8x-board-dts	review-only	Direct 8X base DTS inspected: board compatible, SFP cages, AN8831X firmware-name, MxL86252 switch.	Primary evidence for M03/M05/M09/M10. M00 does not migrate DTS content.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000861	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988a-rfb-eth0-gsw.dtso	dtso	review-only	network:phy:multi-rate	mt7988-rfb-reference	review-only	MT7988 RFB source is supporting MTK/vendor-family evidence, not 8X board authority.	Use only to understand SDK implementation patterns when direct 8X evidence is insufficient.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000862	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988a-rfb-eth1-an8831x.dtso	dtso	review-only	network:phy:multi-rate	mt7988-rfb-reference	review-only	MT7988 RFB source is supporting MTK/vendor-family evidence, not 8X board authority.	Use only to understand SDK implementation patterns when direct 8X evidence is insufficient.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000863	M	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988a-rfb-eth1-aqr.dtso	dtso	review-only	network:phy:multi-rate	mt7988-rfb-reference	review-only	MT7988 RFB source is supporting MTK/vendor-family evidence, not 8X board authority.	Use only to understand SDK implementation patterns when direct 8X evidence is insufficient.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000864	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988a-rfb-eth1-cux3410.dtso	dtso	review-only	network:phy:multi-rate	mt7988-rfb-reference	review-only	MT7988 RFB source is supporting MTK/vendor-family evidence, not 8X board authority.	Use only to understand SDK implementation patterns when direct 8X evidence is insufficient.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000865	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988a-rfb-eth2-an8831x.dtso	dtso	review-only	network:phy:multi-rate	mt7988-rfb-reference	review-only	MT7988 RFB source is supporting MTK/vendor-family evidence, not 8X board authority.	Use only to understand SDK implementation patterns when direct 8X evidence is insufficient.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000866	M	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988a-rfb-eth2-aqr.dtso	dtso	review-only	network:phy:multi-rate	mt7988-rfb-reference	review-only	MT7988 RFB source is supporting MTK/vendor-family evidence, not 8X board authority.	Use only to understand SDK implementation patterns when direct 8X evidence is insufficient.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000867	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988a-rfb-eth2-cux3410.dtso	dtso	review-only	network:phy:multi-rate	mt7988-rfb-reference	review-only	MT7988 RFB source is supporting MTK/vendor-family evidence, not 8X board authority.	Use only to understand SDK implementation patterns when direct 8X evidence is insufficient.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000868	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988a-rfb-eth2-mxl86252.dtso	dtso	review-only	network:phy:multi-rate	mt7988-rfb-reference	review-only	MT7988 RFB source is supporting MTK/vendor-family evidence, not 8X board authority.	Use only to understand SDK implementation patterns when direct 8X evidence is insufficient.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000869	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988a-rfb-mxl86252.dts	dts	review-only	network:phy:multi-rate	mt7988-rfb-reference	review-only	MT7988 RFB source is supporting MTK/vendor-family evidence, not 8X board authority.	Use only to understand SDK implementation patterns when direct 8X evidence is insufficient.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000874	M	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988a-rfb.dts	dts	review-only	network:phy:multi-rate	mt7988-rfb-reference	review-only	MT7988 RFB source is supporting MTK/vendor-family evidence, not 8X board authority.	Use only to understand SDK implementation patterns when direct 8X evidence is insufficient.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000876	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988d-rfb-eth0-gsw.dtso	dtso	review-only	network:phy:multi-rate	mt7988-rfb-reference	review-only	MT7988 RFB source is supporting MTK/vendor-family evidence, not 8X board authority.	Use only to understand SDK implementation patterns when direct 8X evidence is insufficient.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000877	A	target/linux/mediatek/files-6.6/arch/arm64/boot/dts/mediatek/mt7988d-rfb-eth2-sfp.dtso	dtso	review-only	network:phy:multi-rate	mt7988-rfb-reference	review-only	MT7988 RFB source is supporting MTK/vendor-family evidence, not 8X board authority.	Use only to understand SDK implementation patterns when direct 8X evidence is insufficient.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000879	A	target/linux/mediatek/files-6.6/drivers/clk/mediatek/clk-mt7987-apmixed.c	source	review-only	dts:soc:base	mt7987-reference	review-only	MT7987/BPI-R4 Lite vendor-family or MTK SDK reference, not direct 8X authority.	Later steps may inspect as implementation background only; do not copy hardware behavior to 8X from this file.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000880	A	target/linux/mediatek/files-6.6/drivers/clk/mediatek/clk-mt7987-eth.c	source	review-only	dts:soc:base	mt7987-reference	review-only	MT7987/BPI-R4 Lite vendor-family or MTK SDK reference, not direct 8X authority.	Later steps may inspect as implementation background only; do not copy hardware behavior to 8X from this file.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000881	A	target/linux/mediatek/files-6.6/drivers/clk/mediatek/clk-mt7987-infracfg.c	source	review-only	dts:soc:base	mt7987-reference	review-only	MT7987/BPI-R4 Lite vendor-family or MTK SDK reference, not direct 8X authority.	Later steps may inspect as implementation background only; do not copy hardware behavior to 8X from this file.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000882	A	target/linux/mediatek/files-6.6/drivers/clk/mediatek/clk-mt7987-mcusys.c	source	review-only	dts:soc:base	mt7987-reference	review-only	MT7987/BPI-R4 Lite vendor-family or MTK SDK reference, not direct 8X authority.	Later steps may inspect as implementation background only; do not copy hardware behavior to 8X from this file.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000883	A	target/linux/mediatek/files-6.6/drivers/clk/mediatek/clk-mt7987-topckgen.c	source	review-only	dts:soc:base	mt7987-reference	review-only	MT7987/BPI-R4 Lite vendor-family or MTK SDK reference, not direct 8X authority.	Later steps may inspect as implementation background only; do not copy hardware behavior to 8X from this file.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000905	A	target/linux/mediatek/files-6.6/drivers/net/phy/airoha/an8855/Kconfig	kconfig	review-only	network:phy:generic,network:phy:multi-rate	phy-driver-reference	review-only	Vendor PHY/switch driver source is broad MTK SDK evidence.	M05 may inspect if needed, but M00 cannot treat it as direct 8X behavior.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000906	A	target/linux/mediatek/files-6.6/drivers/net/phy/airoha/an8855/Makefile	makefile	review-only	network:phy:generic,network:phy:multi-rate	phy-driver-reference	review-only	Vendor PHY/switch driver source is broad MTK SDK evidence.	M05 may inspect if needed, but M00 cannot treat it as direct 8X behavior.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000907	A	target/linux/mediatek/files-6.6/drivers/net/phy/airoha/an8855/an8855.c	source	review-only	network:phy:generic,network:phy:multi-rate	phy-driver-reference	review-only	Vendor PHY/switch driver source is broad MTK SDK evidence.	M05 may inspect if needed, but M00 cannot treat it as direct 8X behavior.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000908	A	target/linux/mediatek/files-6.6/drivers/net/phy/airoha/an8855/an8855.h	header	review-only	network:phy:generic,network:phy:multi-rate	phy-driver-reference	review-only	Vendor PHY/switch driver source is broad MTK SDK evidence.	M05 may inspect if needed, but M00 cannot treat it as direct 8X behavior.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000909	A	target/linux/mediatek/files-6.6/drivers/net/phy/airoha/an8855/an8855_common.c	source	review-only	network:phy:generic,network:phy:multi-rate	phy-driver-reference	review-only	Vendor PHY/switch driver source is broad MTK SDK evidence.	M05 may inspect if needed, but M00 cannot treat it as direct 8X behavior.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000910	A	target/linux/mediatek/files-6.6/drivers/net/phy/airoha/an8855/an8855_mdio.c	source	review-only	network:phy:generic,network:phy:multi-rate	phy-driver-reference	review-only	Vendor PHY/switch driver source is broad MTK SDK evidence.	M05 may inspect if needed, but M00 cannot treat it as direct 8X behavior.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000911	A	target/linux/mediatek/files-6.6/drivers/net/phy/airoha/an8855/an8855_nl.c	source	review-only	network:phy:generic,network:phy:multi-rate	phy-driver-reference	review-only	Vendor PHY/switch driver source is broad MTK SDK evidence.	M05 may inspect if needed, but M00 cannot treat it as direct 8X behavior.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000912	A	target/linux/mediatek/files-6.6/drivers/net/phy/airoha/an8855/an8855_nl.h	header	review-only	network:phy:generic,network:phy:multi-rate	phy-driver-reference	review-only	Vendor PHY/switch driver source is broad MTK SDK evidence.	M05 may inspect if needed, but M00 cannot treat it as direct 8X behavior.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000913	A	target/linux/mediatek/files-6.6/drivers/net/phy/airoha/an8855/an8855_regs.h	header	review-only	network:phy:generic,network:phy:multi-rate	phy-driver-reference	review-only	Vendor PHY/switch driver source is broad MTK SDK evidence.	M05 may inspect if needed, but M00 cannot treat it as direct 8X behavior.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000914	A	target/linux/mediatek/files-6.6/drivers/net/phy/airoha/an8855/an8855_swconfig.c	source	review-only	network:phy:generic,network:phy:multi-rate	phy-driver-reference	review-only	Vendor PHY/switch driver source is broad MTK SDK evidence.	M05 may inspect if needed, but M00 cannot treat it as direct 8X behavior.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000915	A	target/linux/mediatek/files-6.6/drivers/net/phy/airoha/an8855/an8855_swconfig.h	header	review-only	network:phy:generic,network:phy:multi-rate	phy-driver-reference	review-only	Vendor PHY/switch driver source is broad MTK SDK evidence.	M05 may inspect if needed, but M00 cannot treat it as direct 8X behavior.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000916	A	target/linux/mediatek/files-6.6/drivers/net/phy/airoha/an8855/an8855_vlan.c	source	review-only	network:phy:generic,network:phy:multi-rate	phy-driver-reference	review-only	Vendor PHY/switch driver source is broad MTK SDK evidence.	M05 may inspect if needed, but M00 cannot treat it as direct 8X behavior.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000917	A	target/linux/mediatek/files-6.6/drivers/net/phy/airoha/an8855/an8855_vlan.h	header	review-only	network:phy:generic,network:phy:multi-rate	phy-driver-reference	review-only	Vendor PHY/switch driver source is broad MTK SDK evidence.	M05 may inspect if needed, but M00 cannot treat it as direct 8X behavior.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000918	A	target/linux/mediatek/files-6.6/drivers/net/phy/an8801.c	source	review-only	network:phy:generic,network:phy:multi-rate	phy-driver-reference	review-only	Vendor PHY/switch driver source is broad MTK SDK evidence.	M05 may inspect if needed, but M00 cannot treat it as direct 8X behavior.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000919	A	target/linux/mediatek/files-6.6/drivers/net/phy/an8801.h	header	review-only	network:phy:generic,network:phy:multi-rate	phy-driver-reference	review-only	Vendor PHY/switch driver source is broad MTK SDK evidence.	M05 may inspect if needed, but M00 cannot treat it as direct 8X behavior.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000920	A	target/linux/mediatek/files-6.6/drivers/net/phy/mtk/mt753x/Kconfig	kconfig	review-only	network:phy:generic,network:phy:multi-rate	phy-driver-reference	review-only	Vendor PHY/switch driver source is broad MTK SDK evidence.	M05 may inspect if needed, but M00 cannot treat it as direct 8X behavior.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000921	A	target/linux/mediatek/files-6.6/drivers/net/phy/mtk/mt753x/Makefile	makefile	review-only	network:phy:generic,network:phy:multi-rate	phy-driver-reference	review-only	Vendor PHY/switch driver source is broad MTK SDK evidence.	M05 may inspect if needed, but M00 cannot treat it as direct 8X behavior.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000922	A	target/linux/mediatek/files-6.6/drivers/net/phy/mtk/mt753x/mt7530.c	source	review-only	network:phy:generic,network:phy:multi-rate	phy-driver-reference	review-only	Vendor PHY/switch driver source is broad MTK SDK evidence.	M05 may inspect if needed, but M00 cannot treat it as direct 8X behavior.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000923	A	target/linux/mediatek/files-6.6/drivers/net/phy/mtk/mt753x/mt7530.h	header	review-only	network:phy:generic,network:phy:multi-rate	phy-driver-reference	review-only	Vendor PHY/switch driver source is broad MTK SDK evidence.	M05 may inspect if needed, but M00 cannot treat it as direct 8X behavior.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000924	A	target/linux/mediatek/files-6.6/drivers/net/phy/mtk/mt753x/mt7531.c	source	review-only	network:phy:generic,network:phy:multi-rate	phy-driver-reference	review-only	Vendor PHY/switch driver source is broad MTK SDK evidence.	M05 may inspect if needed, but M00 cannot treat it as direct 8X behavior.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000925	A	target/linux/mediatek/files-6.6/drivers/net/phy/mtk/mt753x/mt7531.h	header	review-only	network:phy:generic,network:phy:multi-rate	phy-driver-reference	review-only	Vendor PHY/switch driver source is broad MTK SDK evidence.	M05 may inspect if needed, but M00 cannot treat it as direct 8X behavior.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000926	A	target/linux/mediatek/files-6.6/drivers/net/phy/mtk/mt753x/mt753x.h	header	review-only	network:phy:generic,network:phy:multi-rate	phy-driver-reference	review-only	Vendor PHY/switch driver source is broad MTK SDK evidence.	M05 may inspect if needed, but M00 cannot treat it as direct 8X behavior.	context grouped; hardware files not dropped from filename alone
M00	M00	owned-in-source-step	yes	no	000927	A	target/linux/mediatek/files-6.6/drivers/net/phy/mtk/mt753x/mt753x_common.c	source	review-only	network:phy:generic,network:phy:multi-rate	phy-driver-reference	review-only	Vendor PHY/switch driver source is broad MTK SDK evidence.	M05 may inspect if needed, but M00 cannot treat it as direct 8X behavior.	context grouped; hardware files not dropped from filename alone
